account_rewards,date
5816.94328082283,2023-10-04
13332.656888565049,2023-10-05
5325.974873146042,2023-10-06
-559.328677452053,2023-10-09
-1470.8849790840177,2023-10-10
-3179.2030148010235,2023-10-11
3641.5372647934128,2023-10-12
8562.072891265852,2023-10-13
-1763.8259829520248,2023-10-16
-13296.508641744615,2023-10-17
-2685.8637269116007,2023-10-18
-8168.906051757745,2023-10-19
-6440.36093738745,2023-10-20
9462.88896183006,2023-10-23
-522.6433605040656,2023-10-24
-12765.114881874062,2023-10-25
-10101.498987449566,2023-10-26
16070.672016014112,2023-10-27
8405.346216068254,2023-10-30
7089.3225258864695,2023-10-31
14601.969676881796,2023-11-01
6296.209047172568,2023-11-02
2304.307753290166,2023-11-03
3282.8576889915857,2023-11-06
-1570.6837587433401,2023-11-07
-8830.802514785784,2023-11-08
8147.0971541519975,2023-11-09
680.1454994659871,2023-11-10
13135.987374334247,2023-11-13
5400.056789199822,2023-11-14
3940.4297804299276,2023-11-15
-1061.60897921375,2023-11-16
1020.5334750365,2023-11-17
-354.4309898377396,2023-11-20
1581.948842939688,2023-11-21
1609.1653763102368,2023-11-22
-1228.9874263727106,2023-11-24
680.990095176734,2023-11-27
2566.092279203469,2023-11-28
13016.694144405425,2023-11-29
9376.752077434445,2023-11-30
-2147.458585746819,2023-12-01
-5480.885560993338,2023-12-04
-1022.2579046515748,2023-12-05
1165.9938723144587,2023-12-06
5381.141159957973,2023-12-07
4593.550572196953,2023-12-08
5902.887991552474,2023-12-11
16351.998546825256,2023-12-12
8384.55700781825,2023-12-13
697.2591847991571,2023-12-14
-1313.843806949677,2023-12-15
6483.096912044566,2023-12-18
-15102.005575664341,2023-12-19
11447.405600761296,2023-12-20
-8809.386822410394,2023-12-21
2345.4913461264223,2023-12-22
2633.4396965084597,2023-12-26
1470.504262290895,2023-12-27
-1993.515405233251,2023-12-28
-155.18668809905648,2023-12-29
-7547.266904350137,2024-01-02
