date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-04-04,0,100,0,95,0,14,100,69,0,85,0,89,34,91,0,99,0,0,0,100,0,0,94,0,0,0,0,0,100
2023-04-05,46,-66,100,-76,0,-14,31,-69,0,53,0,-89,-19,60,100,6,100,91,0,19,100,20,-1,0,3,100,100,100,36
2023-04-06,-2,40,37,-19,0,100,-5,0,0,-52,88,0,-15,-2,-39,-67,11,8,0,-27,100,18,-30,0,100,-32,13,-64,56
2023-04-10,-26,-27,-4,0,0,100,17,0,0,100,-88,0,48,100,-61,36,-7,-3,100,44,-76,11,-60,0,70,61,-9,-36,100
2023-04-11,-18,53,-38,0,0,-28,-44,0,0,100,0,55,-21,-32,100,-74,51,-13,100,-47,98,57,-3,63,-55,-31,-99,0,100
2023-04-12,100,-100,59,58,0,0,93,0,26,-84,0,10,36,55,-25,80,-100,100,-29,100,100,-11,100,7,11,4,-5,100,100
2023-04-13,100,37,100,9,0,6,-77,0,9,-81,0,-65,100,68,-15,-72,16,81,100,25,-100,-95,19,-21,1,3,0,87,-18
2023-04-14,18,-24,7,26,100,-6,-100,0,-35,-16,0,0,100,99,34,-8,-71,25,-11,76,45,0,-43,-49,-100,-100,25,-50,70
2023-04-17,96,100,-90,-33,9,-53,-15,0,0,-44,75,0,-35,15,100,100,17,-100,-70,24,100,49,65,0,-30,-5,63,36,-100
2023-04-18,86,5,-27,-34,-27,-27,0,30,0,-61,77,33,-56,100,34,-100,-17,88,3,25,100,46,25,100,17,0,100,-13,41
2023-04-19,-36,-100,10,100,-53,39,0,-30,44,100,-4,-28,-99,-100,-28,100,21,12,100,-100,91,-72,-51,100,43,0,84,100,61
